filename,Data Analyst Score (%),BI Analyst Score (%),Developer Score (%),Project Manager Score (%),Best Match Role,Best Match Score (%)
new_resume.pdf,5.29,3.04,9.53,8.51,Developer Score (%),9.53
Resume1.pdf,17.75,20.8,2.93,3.79,BI Analyst Score (%),20.8
Resume10.pdf,12.82,19.39,2.05,2.52,BI Analyst Score (%),19.39
Resume11.pdf,5.95,2.96,12.72,6.32,Developer Score (%),12.72
Resume12.pdf,4.69,3.1,12.85,8.31,Developer Score (%),12.85
Resume13.pdf,5.8,3.95,9.49,8.76,Developer Score (%),9.49
Resume14.pdf,8.28,7.65,15.49,5.68,Developer Score (%),15.49
Resume15.pdf,8.9,9.99,8.52,7.53,BI Analyst Score (%),9.99
Resume16.pdf,6.32,5.34,4.49,7.68,Project Manager Score (%),7.68
Resume17.pdf,1.63,4.73,7.85,20.2,Project Manager Score (%),20.2
Resume18.pdf,2.2,2.51,0.91,10.59,Project Manager Score (%),10.59
Resume19.pdf,5.21,1.93,5.81,13.58,Project Manager Score (%),13.58
Resume2.pdf,18.86,17.84,5.04,5.36,Data Analyst Score (%),18.86
Resume20.pdf,3.31,3.8,1.25,17.17,Project Manager Score (%),17.17
Resume3.pdf,12.89,12.57,5.32,3.65,Data Analyst Score (%),12.89
Resume4.pdf,11.9,12.19,6.46,12.15,BI Analyst Score (%),12.19
Resume5.pdf,13.98,13.63,3.89,2.07,Data Analyst Score (%),13.98
Resume6.pdf,13.19,17.93,3.09,5.86,BI Analyst Score (%),17.93
Resume7.pdf,17.54,19.71,1.98,3.92,BI Analyst Score (%),19.71
Resume8.pdf,20.84,26.64,4.08,6.07,BI Analyst Score (%),26.64
Resume9.pdf,17.0,22.94,3.94,2.13,BI Analyst Score (%),22.94
